title,price,location,district,floor,room,bedroom,bathroom,livingroom,kitchen,parking,link
"House for sale at Gothatar, Kathmandu","Rs.24,400,000","Gothatar, Kathmandu",Kathmandu,2.5,,,,,,1,https://99aana.com/property/house-for-sale-at-gothatar-kathmandu-8698/
"House for sale at Tikathali, Lalitpur","Rs.12,500,000","Tikathali, Lalitpur",Lalitpur,1.5,,,,,,1,https://99aana.com/property/house-for-sale-at-tikathali-lalitpur-8695/
"Commercial House for sale at Kalanki, Kathmandu","Rs.55,000,000","Kalanki, Kathmandu",Kathmandu,4.5,,,,,,1,https://99aana.com/property/commercial-house-for-sale-at-kalanki-kathmandu-8687/
