title,price,area,location,district,floor,room,bedroom,bathroom,livingroom,kitchen,parking,link
"House for sale at Imadol, Lalitpur",2 crore 5 lakh,sq m0-3-2-0,"Imadol, Lalitpur",Lalitpur,2.5,10,,,,,1,https://99aana.com/property/house-for-sale-at-imadol-lalitpur-7384/
"House for sale at Imadol, Lalitpur",1 crore 95 lakh,sq m0-3-0-0,"Imadol, Lalitpur",Lalitpur,2.5,10,,,,,1,https://99aana.com/property/house-for-sale-at-imadol-lalitpur-7383/
"House for Sale at Bharatpur, Chitwan","Rs.3,500,000",sq m10 dhur,"Bharatpur, Chitwan",Chitwan,1,3,,1,,,1,https://99aana.com/property/house-for-sale-at-bharatpur-chitwan-7318/
"House for Sale at Kamalbinayak, Bhaktapur","Rs.17,500,000",sq m0-4-0-0,"Kamalbinayak, Bhaktapur",Bhaktapur,2,8,,2,,,1,https://99aana.com/property/house-for-sale-at-kamalbinayak-bhaktapur-7356/
"House for sale at Jorpati, Makalbari, Kathmandu","Rs.8,000,000",sq m0-3-0-0,"Jorpati, Makalbari, Kathmandu",Kathmandu,2.5,9,5,3,,2,1,https://99aana.com/property/house-for-sale-at-jorpati-makalbari-kathmandu-7361/
"House for sale at Imadol, Lalitpur",2 crore 5 lakh,sq m0-3-0-0,"Imadol, Lalitpur",Lalitpur,3.5,9,,,,,1,https://99aana.com/property/house-for-sale-at-imadol-lalitpur-7364/
"House for sale at Kapan, Kathmandu",1 crore 25 lakh,sq m0-3-0-2,"Kapan, Kathmandu",Kathmandu,1.5,,,,,,1,https://99aana.com/property/house-for-sale-at-kapan-kathmandu-7365/
"House for sale at Bhangal, Kathmandu",2 crore 75 lakh,sq m0-4-0-0,"Bhangal, Kathmandu",Kathmandu,2.5,11,,,,,1,https://99aana.com/property/house-for-sale-at-bhangal-kathmandu-7368/
"House for sale at Balaju, Kathmandu",1 crore 75 lakh,sq m0-3-0-0,"Balaju, Kathmandu",Kathmandu,2.5,10,,,,,1,https://99aana.com/property/house-for-sale-at-balaju-kathmandu-7366/
"House for sale at Baluwakhani, Kapan, Kathmandu","Rs.35,000,000",sq m0-5-0-0,"Baluwakhani, Kapan, Kathmandu",Kathmandu,2.5,10,,3,,,1,https://99aana.com/property/house-for-sale-at-baluwakhani-kapan-kathmandu-7342/
"House for sale at Pepsicola, Kathmandu",3 crore 30 lakh,sq m0-3-3-2,"Pepsicola, Kathmandu",Kathmandu,3.5,14,,,,,1,https://99aana.com/property/house-for-sale-at-pepsicola-kathmandu-7351/
"House for sale at Goldhunga, Kathmandu",1 crore 95 lakh,sq m0-4-0-0,"Goldhunga, Kathmandu",Kathmandu,2.5,10,4,5,,,1,https://99aana.com/property/house-for-sale-at-goldhunga-kathmandu-7352/
"House for sale at Gongabu, Kathmandu",2 crore 25 lakh,sq m0-4-2-0,"Gongabu, Kathmandu",Kathmandu,3.5,14,6,3,,,1,https://99aana.com/property/house-for-sale-at-gongabu-kathmandu-7328/
"House for sale at TiKathali, Lalitpur",1 crore 35 lakh,sq m0-2-2-2,"TiKathali, Lalitpur",Lalitpur,2.5,5,,,,,1,https://99aana.com/property/house-for-sale-at-tiKathali-lalitpur-7350/
"House for sale at Pepsicola, Kathmandu",1 crore 15 lakh,sq m0-2-2-0,"Pepsicola, Kathmandu",Kathmandu,1,4,,,,,1,https://99aana.com/property/house-for-sale-at-pepsicola-kathmandu-7347/
"House for sale at Keureni, Nawalparasi","Rs.3,600,000",sq m1 Katha 12 dhur,"Keureni, Nawalparasi",Nawalparasi,1,4,,1,,,1,https://99aana.com/property/house-for-sale-at-keureni-nawalparasi-7316/
"House for Sale at Kadaghari, Kathmandu","Rs.18,000,000",sq m0-3-0-0,"Kadaghari, Kathmandu",Kathmandu,2.5,11,7,3,,,1,https://99aana.com/property/house-for-sale-at-kadaghari-kathmandu-7325/
"House for Sale at Balkot, Bhaktapur","Rs.25,000,000",sq m0-6-0-0,"Balkot, Bhaktapur",Bhaktapur,2.5,9,4,3,,3,1,https://99aana.com/property/house-for-sale-at-balkot-bhaktapur-7322/
"House for sale at Sainamaina, Rupandehi",52 lakh,sq m8 dhur,"Sainamaina, Rupandehi",Rupandehi,1.5,5,,2,,,1,https://99aana.com/property/house-for-sale-at-sainamaina-rupandehi-7332/
"House for sale at Imadol, Lalitpur",2 crore 20 lakh,sq m0-3-3-2,"Imadol, Lalitpur",Lalitpur,2.5,9,5,4,,,1,https://99aana.com/property/house-for-sale-at-imadol-lalitpur-7331/
"House for sale at Sudal, Bhaktapur",75 lakh,sq m0-3-0-2,"Sudal, Bhaktapur",Bhaktapur,1,,,,,,1,https://99aana.com/property/house-for-sale-at-sudal-bhaktapur-7330/
"House for sale at Megacity Ananda Tole, Tarkeshwor Nagarpalika-1, Kathmandu",Rs. 1 crore 65 lakh,sq m0-5-2-0,"Megacity Ananda Tole, Tarkeshwor, Kathmandu",Kathmandu,m0-5-2-0Rooms4Bedrooms2Bathrooms1DescriptionDescription1,4,2,1,,,1,https://99aana.com/property/house-for-sale-at-megacity-ananda-tole-tarkeshwor-nagarpalika-1-kathmandu-7305/
"House for sale at Manamaiju, Kathmandu",Rs. 2 crore 10 Lakh,sq m0-4-0-0,"Manamaiju, Kathmandu",Kathmandu,2,8,4,4,,,1,https://99aana.com/property/house-for-sale-at-manamaiju-kathmandu/
"House for sale at Kapan, Budhanilkantha, Kathmandu","Rs.28,000,000",sq m0-5-0-0,"Kapan, Budhanilkantha, Kathmandu",Kathmandu,2.5,11,6,3,,2,1,https://99aana.com/property/house-for-sale-at-kapan-budhanilkantha-kathmandu-7308/
"House for sale at Swoyambhu, Kathmandu",3 crore,sq m0-5-0-0,"Swoyambhu, Kathmandu",Kathmandu,2.5,12,,,,,1,https://99aana.com/property/house-for-sale-at-swoyambhu-kathmandu-7328/
"House for sale at Golfutar, Kathmandu",2 crore 25 lakh,sq m0-3-1-0,"Sitapaila, Kathmandu",Kathmandu,3,12,6,3,,,1,https://99aana.com/property/house-for-sale-at-golfutar-kathmandu-7313/
"House for sale at Sitapaila, Kathmandu",2 crore 20 lakh,sq m0-4-1-0,"Sitapaila, Kathmandu",Kathmandu,2.5,9,5,3,,,1,https://99aana.com/property/house-for-sale-at-sitapaila-kathmandu-7312/
"House for sale at Bhangal, Lamichhane Tole, Budhanilkantha Nagarpalika-02, Kathmandu",Rs 2 crore 35  lakh,sq m0-4-0-0,"Bhangal, Lamichhane Tole, Budhanilkantha, Kathmandu",Kathmandu,m0-4-0-0Rooms7Bedrooms4Bathrooms3DescriptionDescription2.5,7,4,3,,1,1,https://99aana.com/property/house-for-sale-at-bhangal-lamichhane-tole-budhanilkantha-nagarpalika-02-kathmandu-7290/
"House for Sale at Thali, Kathmandu",Rs. 1 crore 10 lakh,sq m0-3-0-0,"Thali, Kathmandu",Kathmandu,1, 6,,2,,,1,https://99aana.com/property/house-for-sale-at-thali-kathmandu-7291/
"House for Sale at Imadol, Lalitpur","Rs.19,000,000",sq m0-3-0-0,"Sheetal height, Imadol, Lalitpur",Lalitpur,2.5,8,4,3,,2,1,https://99aana.com/property/house-for-sale-at-imadol-lalitpur-7297/
"House for sale at Suryabinayak, Bhaktapur","Rs.10,000,000",sq m0-3-0-0,"Suryabinayak, Bhaktapur",Bhaktapur,1,4,3,1,,1,1,https://99aana.com/property/house-for-sale-at-suryabinayak-bhaktapur-7294/
"House for sale at Fulbari Tole, Itahari, Sunsari","Rs.6,000,000",sq m7 dhur,"Fulbari Tole, Itahari, Sunsari",Sunsari,1.5,6,,1,,,1,https://99aana.com/property/house-for-sale-at-fulbari-tole-itahari-sunsari-7287/
"House for sale at Shankhamul, Kathmandu","Rs.350,000,000",sq m0-5-0-0,"Shankhamul, Kathmandu",Kathmandu,4.5,,,,,,1,https://99aana.com/property/house-for-sale-at-shankhamul-kathmandu-7274/
"House for sale at Imadol, Lalitpur",Rs 2 crore 50 lakh,sq m0-4-0-0,"Imadol, Lalitpur",Lalitpur,3,10,,3,,,1,https://99aana.com/property/house-for-sale-at-imadol-lalitpur-7272/
"House for sale at Imadol, Lalitpur",Negotiable,sq m0-3-2-1,"Imadol, Lalitpur",Lalitpur,2.5,9,,3,,,1,https://99aana.com/property/house-for-sale-at-imadol-lalitpur-7270/
"House for sale at Itahari, Sunsari","Rs.16,000,000",sq m8.5 dhur,"Itahari, Sunsari",Sunsari,2,8,,2,,1,1,https://99aana.com/property/house-for-sale-at-itahari-sunsari-7282/
"House for sale at Sanepa, Lalitpur","Rs.8,500,000",sq m0-1-0-0,"Sanepa, Lalitpur",Lalitpur,4,5,,,,,1,https://99aana.com/property/house-for-sale-at-sanepa-lalitpur-7281/
House for sale at Sitapaila Kathmandu,"Rs.22,000,000",sq m0-3-0-0,"Sitapaila, Kathmandu",Kathmandu,2.5,8,4,3,,2,1,https://99aana.com/property/house-for-sale-at-sitapaila-kathmandu-7280/
"House for sale at Zero Kilometer, Pokhara, Kaski","Rs.22,000,000",sq m0-4-2-2,"Zero Kilometer, Pokhara, Kaski",Kaski,1.5,5,,,,,1,https://99aana.com/property/house-for-sale-at-zero-kilometer-pokhara-kaski-7278/
House ,Rs. 1 crore 75 lakh,sq m0-3-1-2,"Nakhudole, Lalitpur",Lalitpur,2.5,10,5,3,,,1,https://99aana.com/property/house-for-sale-at-nakhudole-lalitpur-7263/
"House for sale at Shivnagar, Butwal-08, Rupandehi","Rs.9,000,000",sq m4 dhur,"Shivnagar, Butwal-08, Rupandehi",Rupandehi,2,6,,2,,1,1,https://99aana.com/property/house-for-sale-at-shivnagar-butwal-08-rupandehi-7268/
"House for sale at Sitapaila, Kathmandu","Rs.27,500,000",sq m0-4-0-0,"Sitapaila, Kathmandu",Kathmandu,2.5,10,,3,,,1,https://99aana.com/property/house-for-sale-at-sitapaila-kathmandu-7269/
"House for sale at Bhangal, Budhanilkantha, Kathmandu","Rs.15,000,000",sq m0-4-0-0,"Bhangal, Budhanilkantha, Kathmandu",Kathmandu,1.5,5,3,1,,1,1,https://99aana.com/property/house-for-sale-at-bhangal-budhanilkantha-kathmandu-7266/
"House for sale at Laxmi Narayan Tole, Birgunj, Parsa","Rs.6,400,000",sq m5 dhur,"Laxmi Narayan Tole, Birgunj, Parsa",Parsa,2,,,,,,1,https://99aana.com/property/house-for-sale-at-laxmi-narayan-tole-birgunj-parsa-7259/
"House for sale at Chanaute, Lamachaur, Pokhara-19, Kaski","Rs.12,500,000",sq m0-4-3-2,"Chanaute, Lamachaur, Pokhara-19, Kaski",Kaski,2,6,,,,,1,https://99aana.com/property/house-for-sale-at-chanaute-lamachaur-pokhara-19-kaski-7265/
"House for Sale at Kadaghari, Kathmandu","Rs.23,000,000",sq m0-4-0-0,"Kadaghari, Kathmandu",Kathmandu,2.5,11,,3,,,1,https://99aana.com/property/house-for-sale-at-kadaghari-kathmandu-7257/
"House for sale at Lolang, Kathmandu","Rs.14,500,000",sq m0-3-0-0,"Lolang, Kathmandu",Kathmandu,2.5,10,,3,,,1,https://99aana.com/property/house-for-sale-at-lolang-kathmandu-7256/
"House for Sale at sangla, Tarkeshwor, Kathmandu",Rs. 2 crore 70 lakh,sq m0-9-0-0,"sangla, Tarkeshwor, Kathmandu,","Kathmandu,",1,,,,,,1,https://99aana.com/property/house-for-sale-at-sangla-tarkeshwor-kathmandu-7247/
"House for sale at Manamiju, Tarakeshwor, Kathmandu","Rs.18,500,000",sq m0-6-2-0,"Manamiju, Tarakeshwor, Kathmandu",Kathmandu,2.5,9,4,3,,2,1,https://99aana.com/property/house-for-sale-at-manamiju-tarakeshwor-kathmandu-7246/
"House for sale at Mananda Chowk, Birtamode, Jhapa","Rs.6,000,000",sq m7 dhur,"Mananda Chowk, Birtamode, Jhapa",Jhapa,1,4,2,1,,1,1,https://99aana.com/property/house-for-sale-at-mananda-chowk-birtamode-jhapa-7245/
"House for sale at Sirutar, Bhaktapur","Rs.16,500,000",sq m0-3-0-3,"Sirutar, Bhaktapur",Bhaktapur,2.5,11,7,3,,,1,https://99aana.com/property/house-for-sale-at-sirutar-bhaktapur-7242/
"House for sale at Nagarjun, Kathmandu","Rs.35,000,000",sq m0-5-0-0,"Nagarjun, Kathmandu",Kathmandu,3.5,17,,,,,1,https://99aana.com/property/house-for-sale-at-nagarjun-kathmandu-7254/
"House for sale at Lainchaur, Kathmandu",Rs.1 crore 70 lakh,sq m0-3-2-0,"Lainchaur, Kathmandu",Kathmandu,3.5,14,11,2,,,1,https://99aana.com/property/house-for-sale-at-lainchaur-kathmandu-7235/
"House for sale at Nagbeli Tole, Mulpani Chaur, Kageshwori Manohara Nagarpalika-6,Kathmandu",Rs. 1 crore 40 lakh,sq m0-3-1-0,"Nagbeli Tole, Mulpani Chaur, Kageshwori,Kathmandu","Kageshwori,Kathmandu",m0-3-1-0Rooms10Bedrooms5Bathrooms3DescriptionDescription2.5,10,5,3,,2,1,https://99aana.com/property/house-for-sale-at-nagbeli-tole-mulpani-chaur-kageshwori-manohara-nagarpalika-6kathmandu-7233/
"House for sale at Shanti Tole, Birgunj, Parsa",Negotiable,sq m12.5 dhur,"Shanti Tole, Birgunj, Parsa",Parsa,4,18,,4,,,1,https://99aana.com/property/house-for-sale-at-shanti-tole-birgunj-parsa-7230/
"House for sale at TiKathali, Mahalaxmi, Lalitpur","Rs.12,000,000",sq m0-2-3-0,"TiKathali, Mahalaxmi, Lalitpur",Lalitpur,1,4,2,1,,1,1,https://99aana.com/property/house-for-sale-at-tiKathali-mahalaxmi-lalitpur-7241/
"House for Sale at Budhanilkantha, Kathmandu","Rs.43,000,000",sq m0-6-0-0,"Budhanilkantha, Kathmandu",Kathmandu,2.5,9,5,4,,2,1,https://99aana.com/property/house-for-sale-at-budhanilkantha-kathmandu-7240/
"House for sale at darjeeling height, Suryabinayak-08, Bhaktapur",Rs. 2 crore 20 Lakh,sq m0-3-2-0,"darjeeling height, Suryabinayak-08, Bhaktapur",Bhaktapur,2.5,8,6,3,,1,1,https://99aana.com/property/house-for-sale-at-darjeeling-height-suryabinayak-08-bhaktapur-7232/
"House for Sale at Bansbari, Kathmandu",Rs. 4 Crore 55 Lakh,sq m0-6-5-0,"Bansbari, Kathmandu",Kathmandu,2,14,10,3,,,1,https://99aana.com/property/house-for-sale-at-bansbari-kathmandu/
"House for sale at Jarankhu, Kathmandu","Rs.13,500,000",sq m0-3-0-3,"Jarankhu, Kathmandu",Kathmandu,2,6,3,2,,2,1,https://99aana.com/property/house-for-sale-at-jarankhu-kathmandu-7227/
"House for sale at Dharan-15, Sunsari",Negotiable,sq m7 dhur,"Dharan-15, Sunsari",Sunsari,1.5,6,3,2,,1,1,https://99aana.com/property/house-for-sale-at-dharan-15-sunsari-7223/
"House for sale at Naag Tole, Goldhunga, Kathmandu","Rs.12,000,000",sq m0-3-0-0,"Naag Tole, Goldhunga, Kathmandu",Kathmandu,1,4,2,1,,1,1,https://99aana.com/property/house-for-sale-at-naag-tole-goldhunga-kathmandu-7214/
"House for sale at Mulpani, Kathmandu","Rs.12,500,000",sq m0-2-2-0,"Mulpani, Kathmandu",Kathmandu,2.5,7,4,3,,1,1,https://99aana.com/property/house-for-sale-at-mulpani-kathmandu-7200/
"House for sale at Kawasoti, Nawalparasi","Rs.7,500,000",sq m1 Katha,"Kawasoti, Nawalparasi",Nawalparasi,1.5,7,,2,,2,1,https://99aana.com/property/house-for-sale-at-kawasoti-nawalparasi-7209/
"House for sale at Shitalnagar, Devchuli, Nawalparasi","Rs.5,500,000",sq m22 dhur,"Shitalnagar, Devchuli, Nawalparasi",Nawalparasi,1,3,,1,,,1,https://99aana.com/property/house-for-sale-at-shitalnagar-devchuli-nawalparasi-7208/
"House for sale at Imadol, Mahalaxmi, Lalitpur",Rs. 1 crore 70 lakh,sq m0-3-0-0,"Imadol, Mahalaxmi, Lalitpur",Lalitpur,2.5,10,6,3,,1,1,https://99aana.com/property/house-for-sale-at-imadol-mahalaxmi-lalitpur-7192/
"House for Sale at Suryabinayak, Bhaktapur",Rs. 1 crore 5 lakh,sq m0-3-0-0,"Suryabinayak, Bhaktapur",Bhaktapur,1,5,3,1,,,1,https://99aana.com/property/house-for-sale-at-suryabinayak-bhaktapur-7191/
"House for sale at Sirutar, Bhaktapur","Rs.21,500,000",sq m0-4-1-0,"Sirutar, Bhaktapur",Bhaktapur,2.5,10,,4,,,1,https://99aana.com/property/house-for-sale-at-sirutar-bhaktapur-7188/
"House for sale at Shitalnagar, Rupandehi",Negotiable,sq m14 dhur,"Shitalnagar, Rupandehi",Rupandehi,2.5,,,,,,1,https://99aana.com/property/house-for-sale-at-shitalnagar-rupandehi-7186/
"House for sale at Bhangal, Budhanilkantha, Kathmandu","Rs.15,000,000",sq m0-4-0-0,"Bhangal, Budhanilkantha, Kathmandu",Kathmandu,1.5,6,4,2,,2,1,https://99aana.com/property/house-for-sale-at-bhangal-budhanilkantha-kathmandu-7190/
"House for sale at Machapuchhre Tole, Pokhara Lekhnath, Kaski",Negotiable,sq m1-0-0-0,"Machapuchhre Tole, Pokhara Lekhnath, Kaski",Kaski,2,6,4,3,,1,1,https://99aana.com/property/house-for-sale-at-machapuchhre-tole-pokhara-lekhnath-kaski-7172/
"House for sale at Fulbari, Pokhara-15, Kaski","Rs.19,000,000",sq m0-9-0-0,"Fulbari, Pokhara-15, Kaski",Kaski,1.5,6,,2,,,1,https://99aana.com/property/house-for-sale-at-fulbari-pokhara-15-kaski-7185/
"House for sale at Nayagaun, Butwal, Rupandehi",Negotiable,sq m6 dhur,"Nayagaun, Butwal, Rupandehi",Rupandehi,1.5,5,3,2,,1,1,https://99aana.com/property/house-for-sale-at-nayagaun-butwal-rupandehi-7182/
"House for sale at Narayantar, Jorpati, Kathmandu","Rs.24,000,000",sq m0-3-2-0,"Narayantar, Jorpati, Kathmandu",Kathmandu,2.5,9,4,3,,3,1,https://99aana.com/property/house-for-sale-at-narayantar-jorpati-kathmandu-7174/
"House for sale at Akashedhara, Budhanilkantha-11, Kathmandu","Rs.19,000,000",sq m0-3-2-0,"Akashedhara, Budhanilkantha-11, Kathmandu",Kathmandu,2.5,8,4,3,,,,https://99aana.com/property/house-for-sale-at-akashedhara-budhanilkantha-11-kathmandu-7176/
"House for Sale at Jorpati, Kathmandu",Rs. 1 crore 35 Lakh,sq m0-4-0-0,"Jorpati, Kathmandu",Kathmandu,2,6,4,2,,,1,https://99aana.com/property/house-for-sale-at-jorpati-kathmandu-7163/
"House for sale at Tinkune, Kathmandu","Rs.52,000,000",sq m0-4-0-0,"Tinkune, Kathmandu",Kathmandu,4.5,18,,5,,,1,https://99aana.com/property/house-for-sale-at-tinkune-kathmandu-7161/
"House for sale at Om Basti, Thankot, Chandragiri-03, Kathmandu",Negotiable,sq m0-3-0-0,"Om Basti, Thankot, Chandragiri-03, Kathmandu",Kathmandu,2.5,6,2,3,,2,1,https://99aana.com/property/house-for-sale-at-om-basti-thankot-chandragiri-03-kathmandu-7171/
"House for sale at Bhadrabas, Kathmandu","Rs.7,000,000",sq m0-3-2-0,"Bhadrabas, Kathmandu",Kathmandu,1.5,5,,2,,1,1,https://99aana.com/property/house-for-sale-at-bhadrabas-kathmandu-7170/
"House for sale at Dharapani, Gaindakot-01, Nawalparasi","Rs.14,300,000",sq m11 dhur,"Dharapani, Gaindakot-01, Nawalparasi",Nawalparasi,2.5,11,6,3,,3,1,https://99aana.com/property/house-for-sale-at-dharapani-gaindakot-01-nawalparasi-7168/
"House for sale at Lubhu, Lalitpur","Rs.17,000,000",sq m0-5-3-0,"Lubhu, Lalitpur",Lalitpur,3,9,,3,,,1,https://99aana.com/property/house-for-sale-at-lubhu-lalitpur-7159/
"House for sale at Ramghat, Pokhara, Kaski","Rs.35,000,000",sq m0-6-0-0,"Ramghat, Pokhara, Kaski",Kaski,2.5,10,,3,,,1,https://99aana.com/property/house-for-sale-at-ramghat-pokhara-kaski-7146/
"House for sale at Laxmi Marg, Belbari, Morang","Rs.3,500,000",sq m8 dhur,"Laxmi Marg, Belbari, Morang",Morang,1,8,1,1,,1,1,https://99aana.com/property/house-for-sale-at-laxmi-marg-belbari-morang-7147/
"House for sale at Madi, Chitwan",Negotiable,sq m10 dhur,"Madi, Chitwan",Chitwan,3,12,,3,,,1,https://99aana.com/property/house-for-sale-at-madi-chitwan-7145/
"House for sale at Thapa Chowk, Kadaghari, Kathmandu","Rs.10,000,000",sq m0-4-0-2,"Thapa Chowk, Kadaghari, Kathmandu",Kathmandu,2.5,8,,3,,,1,https://99aana.com/property/house-for-sale-at-thapa-chowk-kadaghari-kathmandu-7144/
"House for sale at Dhaneshwor Height, Tokha Nagarpalika-3, Kathmandu",Rs 2 crore 70  lakh,sq m0-3-3-0,"Dhaneshwor Height, Tokha, Kathmandu",Kathmandu,m0-3-3-0Rooms11Bedrooms5Bathrooms4DescriptionDescription2.5,11,5,4,,2,1,https://99aana.com/property/house-for-sale-at-dhaneshwor-height-tokha-nagarpalika-3-kathmandu-7135/
"House for sale at Gamcha, Bhaktapur","Rs.11,000,000",sq m0-2-2-0,"Gamcha, Bhaktapur",Bhaktapur,2.5,5,3,2,,1,1,https://99aana.com/property/house-for-sale-at-gamcha-bhaktapur-7143/
"House for sale at Simal Tandi, Rapti, Chitwan","Rs.1,600,000",sq m10 dhur,"Simal Tandi, Rapti, Chitwan",Chitwan,1,3,1,`,,1,1,https://99aana.com/property/house-for-sale-at-simal-tandi-rapti-chitwan-7139/
"House for sale at Kalanki Chowk, Kathmandu","Rs.32,500,000",sq m0-4-0-0,"Kalanki Chowk, Kathmandu",Kathmandu,2.5,10,5,3,,3,1,https://99aana.com/property/house-for-sale-at-kalanki-chowk-kathmandu-7138/
"House for sale at Nayabasti, Gokarneshwor Nagarpalika-06, Kathmandu",Rs 2 crore 39  lakh,sq m0-4-0-3,"Nayabasti, Gokarneshwor, Kathmandu",Kathmandu,m0-4-0-3Rooms15Bedrooms7Bathrooms4DescriptionDescription2.5,15,7,4,,3,1,https://99aana.com/property/house-for-sale-at-nayabasti-gokarneshwor-nagarpalika-06-kathmandu-7136/
"House for sale at Maibale Tole, Ratnanagar-10, Chitwan","Rs.9,500,000",sq m12.5 dhur,"Maibale Tole, Ratnanagar-10, Chitwan",Chitwan,1,4,2,1,,1,1,https://99aana.com/property/house-for-sale-at-maibale-tole-ratnanagar-10-chitwan-7133/
"House for sale at Dhulabari, Mechinagar-10, Jhapa","Rs.4,000,000",sq m11.4 dhur,"Dhulabari, Mechinagar-10, Jhapa",Jhapa,1,3,2,1,,1,1,https://99aana.com/property/house-for-sale-at-dhulabari-mechinagar-10-jhapa-7130/
"House for sale at Pashupatinagar, Hetauda-09, Makwanpur","Rs.14,500,000",sq m17 dhur,"Pashupatinagar, Hetauda-09, Makwanpur",Makwanpur,2,8,,4,,2,1,https://99aana.com/property/house-for-sale-at-pashupatinagar-hetauda-09-makwanpur-7115/
"Modern house for sale at Bhangal, Budhanilkantha, Kathmandu","Rs.69,000,000",sq m0-8-3-1,"Bhangal, Budhanilkantha, Kathmandu",Kathmandu,2.5,8,4,4,,1,1,https://99aana.com/property/modern-house-for-sale-at-bhangal-budhanilkantha-kathmandu-7116/
"House for sale at Kirtipur, Kathmandu",Negotiable,sq m0-4-0-3,"Kirtipur, Kathmandu",Kathmandu,2,8,,3,,2,1,https://99aana.com/property/house-for-sale-at-kirtipur-kathmandu-7118/
"House for sale at Dadhikot, Bhaktapur","Rs.26,000,000",sq m0-4-0-0,"Dadhikot, Bhaktapur",Bhaktapur,2.5,12,,4,,,1,https://99aana.com/property/house-for-sale-at-dadhikot-bhaktapur-7117/
"House for Sale at Goldhunga, Kathmandu",Rs. 77 lakh,sq m0-3-2-0,"Goldhunga, Kathmandu",Kathmandu,1,5,3,1,,,1,https://99aana.com/property/house-for-sale-at-goldhunga-kathmandu-7121/
"House for sale at Damak, Jhapa","Rs.45,000,000",sq m35 dhur,"Damak, Jhapa",Jhapa,1,5,,1,,,1,https://99aana.com/property/house-for-sale-at-damak-jhapa-7128/
"House for sale at Gongabu, Kathmandu","Rs.38,000,000",sq m0-4-1-0,"Gongabu, Kathmandu",Kathmandu,5.5,30,,6,,,1,https://99aana.com/property/house-for-sale-at-gongabu-kathmandu-7126/
"House for sale at Kalanki, Kathmandu","Rs.15,000,000",sq m0-3-0-0,"Kalanki, Kathmandu",Kathmandu,2.5,8,,3,,,1,https://99aana.com/property/house-for-sale-at-kalanki-kathmandu-7124/
"House for sale at Samarpan Tole, Nagarjun-16, Kathmandu",Negotiable,sq m0-3-2-0,"Samarpan Tole, Nagarjun-16, Kathmandu",Kathmandu,2.5,9,5,5,,2,1,https://99aana.com/property/house-for-sale-at-samarpan-tole-nagarjun-16-kathmandu-7111/
"House for sale at Lubhu, Lalitpur","Rs.12,000,000",sq m0-3-2-0,"Lubhu, Lalitpur",Lalitpur,1,7,5,2,,1,1,https://99aana.com/property/house-for-sale-at-lubhu-lalitpur-7110/
"House for sale at Jarankhu, Kathmandu",Rs. 1 crore 80 Lakh,sq m0-3-0-0,"Jarankhu, Kathmandu",Kathmandu,3,15,6,3,,,1,https://99aana.com/property/house-for-sale-at-jarankhu-kathmandu-7123/
"House for sale at Purano Naikap, Kathmandu",Rs. 2 crore 65 lakh,sq m0-5-0-0,"Purano Naikap, Kathmandu",Kathmandu,2.5,6,5,4,, 2 with dining,1,https://99aana.com/property/house-for-sale-at-purano-naikap-kathmandu-7109/
"House for sale at Hattigauda, Budhanilkantha, Kathmandu","Rs.16,000,000",sq m0-4-0-0,"Hattigauda, Budhanilkantha, Kathmandu",Kathmandu,2,8,4,3,,2,1,https://99aana.com/property/house-for-sale-at-hattigauda-budhanilkantha-kathmandu-7102/
"House for sale at Pasikot, Budhanilkantha, Kathmandu","Rs.16,000,000",sq m0-3-0-0,"Pasikot, Budhanilkantha, Kathmandu",Kathmandu,3,8,4,3,,2,1,https://99aana.com/property/house-for-sale-at-pasikot-budhanilkantha-kathmandu-7103/
"House for sale at Ramkot, Sitapaila, Kathmandu",Negotiable,sq m0-4-0-0,"Ramkot, Sitapaila, Kathmandu",Kathmandu,2.5,2,4,3,,2,1,https://99aana.com/property/house-for-sale-at-ramkot-sitapaila-kathmandu-7099/
"House for sale at Ganesh Chowk, Budhanilkantha, Kathmandu","Rs.26,000,000",sq m0-4-2-0,"Ganesh Chowk, Budhanilkantha, Kathmandu",Kathmandu,2.5,7,4,3,,1,1,https://99aana.com/property/house-for-sale-at-ganesh-chowk-budhanilkantha-kathmandu-7098/
"House for sale at Lolang, Tarakeshwor, Kathmandu","Rs.20,500,000",sq m0-4-0-0,"Lolang, Tarakeshwor, Kathmandu",Kathmandu,3,11,7,3,,2,1,https://99aana.com/property/house-for-sale-at-lolang-tarakeshwor-kathmandu-7097/
"House for sale at Shivapath, Butwal Upamahanagarpalika-09, Rupandehi",Rs. 80 lakh,sq m4.5 dhur,"Shivapath, Butwal, Rupandehi",Rupandehi,dhurRooms5Bedrooms2Bathrooms2DescriptionDescription1,5,2,2,,,1,https://99aana.com/property/house-for-sale-at-shivapath-butwal-upamahanagarpalika-09-rupandehi-7093/
"House for sale at Itahari, Sunsari","Rs.15,500,000",sq m10 dhur,"Itahari, Sunsari",Sunsari,3.5,17,7,4,,,1,https://99aana.com/property/house-for-sale-at-itahari-sunsari-7089/
"House for sale at Balkhu, Kathmandu","Rs.16,000,000",sq m0-3-0-0,"Balkhu, Kathmandu",Kathmandu,2.5,7,4,3,,2,1,https://99aana.com/property/house-for-sale-at-balkhu-kathmandu-7087/
"House for sale at Nagarjun-07, Kathmandu",Negotiable,sq m0-2-3-0,"Nagarjun-07, Kathmandu",Kathmandu,2.5,8,6,3,, 2,1,https://99aana.com/property/house-for-sale-at-nagarjun-07-kathmandu-7078/
