title,price,location,floor,room,bedroom,bathroom,living_room,kitchen,parking,link
"Cafe for sale at Setopul, Kathmadu",Negotiable,"Setopul, Kathmandu","Listing ID8,530sq m400 Sq.ftDescriptionDescriptionA well-running Cafe is for sale at Setopul, Kathmadu with a total area of 400 sq. ft. The price of this cafe is negotiable for immediate buyers. The rent for this Cafe is Rs. 22 thousand per month. It is located in a peaceful environment.It is a furnished and well-decorated space with 24 hours water facility. This cafe has good customer flow and is decorated very well.Interested buyers can contact the owner of a phone: 9810163738Property HighlightsType– CafeTotal Price– NegotiableRent–  Rs 22 thousand per monthAvailable Space– 400 sq. ftAddress– Setopul, KathmaduContact –9810163738AmenitiesFurnished– FurnishedWater Facility– 24 hours running waterSeparate Electricity Meter– YesNearby LandmarksNear Matrika Eye CenterFacebook Linkhttps://bit.ly/3vYvKZdSimilar PropertiesFor SaleRs.35,000,000House for sale at Baluwakhani, Kapan, KathmanduDetailsListing ID7,342sq m0-5-0-0Rooms10Bathrooms3Uddhav Sedai5 months agoFor SaleRs. 2 Crore 50 Lakh (Slightly Negotiable)House for Sale at Jarankhu, KathmanduDetailsListing ID5,866sq m0-4-0-0Rooms12Bathrooms4Rupak Pariyar9 months agoFor SaleRs.23,500,000House for Sale at Mandikhatar, KathmanduDetailsListing ID8,317sq m3.25 aanaRooms11Bathrooms3Uddhav Sedai4 weeks ago",10,Bedrooms3,Bathrooms3,,,,https://99aana.com/property/cafe-for-sale-at-setopul-kathmadu-8530/
"House for sale at Kapan, Budhanilkantha, Kathmandu",Negotiable,"Kapan, Budhanilkantha, Kathmandu",2.5,11,Bedrooms5,Bathrooms3,,3, available,https://99aana.com/property/house-for-sale-at-kapan-budhanilkantha-kathmandu-8524/
"House for sale at Kalanki, Kathmandu",Negotiable,"Kalanki, Kathmandu",2.5,9,Bedrooms5,Bathrooms3,,, available,https://99aana.com/property/house-for-sale-at-kalanki-kathmandu-8522/
"House for sale at Mahankal, Boudha, Kathmandu","Rs.37,000,000","Mahankal, Boudha, Kathmandu",3.5,15,Bedrooms8,Bathrooms6,,, available,https://99aana.com/property/house-for-sale-at-mahankal-boudha-kathmandu-8520/
"House for sale at Narayanthan, Budhanilkantha, Kathmandu","Rs.90,000,000","Narayanthan, Budhanilkantha, Kathmandu",2.5,16,Bedrooms5,Bathrooms13,,, available,https://99aana.com/property/house-for-sale-at-narayanthan-budhanilkantha-kathmandu-8525/
"House for sale at Bhangal, Budhanilkantha-08, Kathmandu","Rs.16,500,000","Bhangal, Budhanilkantha-08, Kathmandu",2.5,8,Bedrooms6,Bathrooms3,,, available,https://99aana.com/property/house-for-sale-at-bhangal-budhanilkantha-08-kathmandu-8511/
House for sale at Baluwatar Kathmandu,Negotiable,"Baluwatar, Kathmandu",2.5,7,Bedrooms3,Bathrooms3,,, available,https://99aana.com/property/house-for-sale-at-baluwatar-kathmandu-8510/
"House for sale at Bhangal, Budhanilkantha, Kathmandu","Rs.32,500,000","Bhangal, Budhanilkantha, Kathmandu",2.5,8,Bedrooms7,Bathrooms3,,2, available,https://99aana.com/property/house-for-sale-at-bhangal-budhanilkantha-kathmandu-8509/
"House for sale at Milan Tole, Duwakot, Bhaktapur","Rs.24,000,000","Milan tole, Duwakot, Bhaktapur",3,11,Bedrooms6,Bathrooms2,,, available,https://99aana.com/property/house-for-sale-at-milan-tole-duwakot-bhaktapur-8508/
"Bungalow for sale at Lainchaur, Kathmandu",Rs 24 Crore,"Lainchaur, Kathmandu",2.5,40,Bedrooms18,Bathrooms18,,,,https://99aana.com/property/bungalow-for-sale-at-lainchaur-kathmandu-8518/
"House for Sale at Naxal, Kathmandu","Rs.78,000,000","Naxal, Kathmandu",4,10,Bedrooms6,Bathrooms4,,, available,https://99aana.com/property/house-for-sale-at-naxal-kathmandu-8515/
"House for sale at Tikathali, Lalitpur",Rs. 1 crore and 45 lakhs,"Tikathali, Lalitpur",1,9,Bedrooms5,Bathrooms4,,,,https://99aana.com/property/house-for-sale-at-tikathali-lalitpur-8506/
"House for sale at Kapan, Budhanilkantha, Kathmandu","Rs.35,000,000","Kapan, Budhanilkantha, Kathmandu",2.5,10,Bedrooms4,Bathrooms3,,, available,https://99aana.com/property/house-for-sale-at-kapan-budhanilkantha-kathmandu-8502/
"House for sale at Baluwakhani, Kapan, Budhanilkantha-10, Kathmandu","Rs.32,500,000","Baluwakhani, Kapan, Budhanilkantha-10, Kathmandu",2.5,11,Bedrooms9,Bathrooms3,,, available,https://99aana.com/property/house-for-sale-at-baluwakhani-kapan-budhanilkantha-10-kathmandu-8499/
"House for sale at Sitapaila, Kathmandu","Rs.25,600,000","Sitapaila, Kathmandu",3.5,14,Bedrooms5,Bathrooms4,,, available,https://99aana.com/property/house-for-sale-at-sitapaila-kathmandu-8498/
"Bungalow for sale at Budhanilkantha, Kathmandu",Rs 10 Crore 50 Lakh,"Budhanilkantha, Kathmandu",2.5,5,Bedrooms3,Bathrooms2,,,,https://99aana.com/property/house-for-sale-at-budhanilkantha-kathmandu-11-8507/
"House for sale at Imadol, Lalitpur",Rs 2 crore and 5 lakhs,"Imadol, Lalitpur",3,9,Bedrooms8,Bathrooms3,,,,https://99aana.com/property/house-for-sale-at-imadol-lalitpur-8495/
