title,price,location,district,floor,room,bedroom,bathroom,livingroom,kitchen,parking,link
"Brand New House On Sale At Kapan, Kathmandu","1,70,00,000","Kathmandu, Budhanilkantha, Baluwakhani",Kathmandu,Three And Half Floors,,8 Bed Room,4 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7509
"Brand New House On Sale At Kapan, Kathmandu","1,30,00,000","Kathmandu, Budhanilkantha, Baluwakhani",Kathmandu,Three And Half Floors,,8 Bed Room,4 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7508
"Brand New House On Sale At Kapan, Kathmandu","1,65,00,000","Kathmandu, Budhanilkantha, Baluwakhani",Kathmandu,Three And Half Floors,,8 Bed Room,4 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7507
"Commercial Cum Residential Building On Sale At Bhotebhal, Kathmandu","2,10,00,000","Kathmandu, Gana Bahal",Kathmandu,Four And Half Floors,,4 Bed Room,2 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7503
"Residential Apartment On Sale At Balkumari, Lalitpur","1,40,00,000","Lalitpur, Westar ResidencyTower no ",Lalitpur,Fourth Floors,,2 Bed Room,2 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7501
"Commercial Cum Residential House On Sale At Dallu, Kathmandu","2,90,00,000","Kathmandu, Changal Marg50 meter near from District Education Board office.",Kathmandu,Three And Half Floors,,8 Bed Room,4 Bath Room,2 Living Room,3 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7493
"Commercial Building On Sale At New Buspark, Kathmandu","4,60,00,000","Kathmandu, New Buspark50 Meter inside from ring road, Mitranagar main road.",Kathmandu,Four Floors,,15 Bed Room,16 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7489
"Residential House On Sale At Imadol, Lalitpur","2,10,00,000","Lalitpur, Mahalaxmi, Ward No",Lalitpur,Three Floors,,7 Bed Room,3 Bath Room,3 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7487
"Residential House On Sale At Sano Thimi,Bhaktapur","1,65,00,000","Bhaktapur, Madhyapur Thimi3 minutes from dhunche pakha road",Bhaktapur,2.5 Floors,,5 Bed Room,3 Bath Room,1 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7486
"Residential Bungalow On Sale At Bhaisepati, Lalitpur","2,45,00,000","Lalitpur, Bhaisepati Colony",Lalitpur,Two And Half Floors,,4 Bed Room,3 Bath Room,2 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7481
"Semi Furnished House On Sale At Kandaghari, Kathmandu","2,20,00,000","Kathmandu, Kageshwari Manohara, Back Side Of Suncity ApartmentsChandra Surya colony Gate no 1, House no 29.",Kathmandu,Three Floors,,5 Bed Room,3 Bath Room,3 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7478
"Residential House On Sale At Pepsicola, Kathmandu","1,72,00,000","Kathmandu, Kageshwari Manohara, Pepsicola, Ward No.",Kathmandu,Two And Half Floors,,4 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7475
"Residential House On Sale At Pepsicola, Kathmandu","1,62,00,000","Kathmandu, Kageshwari Manohara, Pepsicola, Ward No.",Kathmandu,Two And Half Floors,,4 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7474
"Residential House On Sale At Lubhu, Lalitpur","1,30,00,000","Lalitpur, Mahalaxmi, Lamatar, Souasambhu Chour10 minutes walking distance from Lubhu Bus stop.",Lalitpur,Two And Half Floors,,4 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7473
"Commercial Cum Residential House On Sale At Lubhu, Lalitpur","1,85,00,000","Lalitpur, Mahalaxmi, Lamatar, Souasambhu Chour10 minutes walking distance from Lubhu Bus stop.",Lalitpur,Two And Half Floors,,4 Bed Room,3 Bath Room,3 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7472
"Residential House For Sale At Budhanilkantha , kathmandu","2,55,00,000","Kathmandu, Budhanilkantha, Taulung",Kathmandu,Two And Half Floors,,4 Bed Room,3 Bath Room,3 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7468
"Commercial Building On Sale At Maharajgunj, Kathmandu","9,95,00,000","Kathmandu, Ward No.",Kathmandu,Seven And Half Floors,,4 Bed Room,8 Bath Room,3 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7467
"Residential House On Sale At Baneshwor, Kathmandu","5,50,00,000","Kathmandu, Mid BaneshworSachetan Marg, ward no.",Kathmandu,Three Floors,,14 Bed Room,4 Bath Room,2 Living Room,3 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7464
"Commercial Building For Sale At Soltimode, Kathmandu","13,50,00,000",Kathmandu,Kathmandu,Three And Half Floors,,14 Bed Room,8 Bath Room,2 Living Room,3 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7462
"Residential Bungalow On Sale At Sitapaila, Kathmandu","2,30,00,000","Kathmandu, Nagarjun, Sankata Housing1.7 km from sitapaila chowk, Ring Road.",Kathmandu,Two And Half Floors,,6 Bed Room,5 Bath Room,2 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7458
